Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,29-Mar,@,MIA,"W,8-4",44,35,8,9,4,0,3,8,5,2,10,3,0,0,0,1,1,0,0.257,0.395,0.629,1.024,9,16,R,J.Urena (28)
2,2,30-Mar,@,MIA,"L,1-2",67,58,1,8,2,0,1,1,8,1,20,1,0,0,0,1,0,0,0.183,0.309,0.376,0.685,15,18,L,C.Smith (61)
3,3,31-Mar,@,MIA,"W,10-6",48,41,10,13,4,0,1,9,5,0,11,0,1,1,0,1,0,0,0.224,0.331,0.41,0.742,8,18,R,O.Despaigne (41)
4,4,01-Apr,@,MIA,"L,0-6",37,35,0,8,2,0,0,0,1,0,6,1,0,0,0,0,0,0,0.225,0.32,0.385,0.704,10,12,L,D.Peters (61)
5,5,02-Apr,@,CIN,"L,0-1",33,27,0,2,0,1,0,0,5,0,11,1,0,0,0,1,0,1,0.204,0.308,0.352,0.66,6,12,R,T.Mahle (75)
6,6,05-Apr,@,MIL,"W,8-0",47,42,8,13,2,1,1,7,4,2,9,1,0,0,2,0,1,0,0.223,0.321,0.374,0.695,12,15,L,B.Suter (35)
7,7,06-Apr,@,MIL,"L,4-5",39,34,4,7,1,1,0,3,4,1,9,1,0,0,0,0,1,0,0.221,0.319,0.364,0.683,8,18,R,B.Woodruff (46)
8,8,07-Apr,@,MIL,"W,5-2",41,33,5,8,1,1,1,5,7,1,9,0,1,0,1,1,0,1,0.223,0.326,0.37,0.696,9,17,R,Z.Davies (65)
9,9,08-Apr,@,MIL,"W,3-0",36,32,3,7,2,1,1,2,2,0,8,1,1,0,1,1,0,0,0.223,0.322,0.377,0.699,6,14,R,C.Anderson (56)
10,10,10-Apr,,PIT,"L,5-8",39,36,5,10,1,0,2,5,2,0,8,1,0,0,0,0,0,0,0.228,0.323,0.386,0.709,7,15,R,I.Nova (57)
11,11,11-Apr,,PIT,"W,13-5",44,41,13,16,7,0,3,12,2,1,5,1,0,0,0,1,1,0,0.244,0.333,0.425,0.758,7,14,L,S.Brault (38)
12,12,12-Apr,,PIT,"L,1-6",35,33,1,7,2,0,1,1,1,0,6,1,0,0,0,0,0,0,0.242,0.328,0.421,0.749,7,14,R,T.Williams (64)
13,13,13-Apr,,ATL,"L,0-4",32,30,0,4,1,0,0,0,1,0,9,1,0,0,0,1,0,0,0.235,0.32,0.405,0.724,5,16,R,A.Sanchez (71)
14,14,14-Apr,,ATL,"W,14-10",47,35,14,10,2,1,1,12,10,1,12,2,0,0,1,0,0,0,0.238,0.332,0.41,0.742,9,16,L,S.Newcomb (49)
15,15,17-Apr,,STL,"L,3-5",41,32,3,6,1,0,1,3,6,0,9,2,1,0,0,0,0,0,0.235,0.333,0.404,0.737,11,17,R,A.Wainwright (58)
16,16,19-Apr,,STL,"W,8-5",42,35,8,14,0,1,1,8,3,0,6,2,1,1,0,1,0,0,0.245,0.341,0.413,0.754,10,15,R,L.Weaver (22)
17,17,20-Apr,@,COL,"W,16-5",49,44,16,18,4,1,2,14,5,0,4,0,0,0,1,2,0,0,0.257,0.35,0.432,0.781,6,12,R,J.Gray (23)
18,18,21-Apr,@,COL,"L,2-5",33,31,2,6,3,0,0,2,2,0,7,0,0,0,0,0,0,1,0.254,0.345,0.425,0.77,4,15,L,T.Anderson (56)
19,19,22-Apr,@,COL,"W,9-7",47,40,9,13,1,0,1,9,4,0,15,2,1,0,0,0,0,0,0.258,0.349,0.425,0.774,11,16,R,G.Marquez (24)
20,20,24-Apr,@,CLE,"W,10-3",43,42,10,15,4,0,4,10,1,0,9,0,0,0,0,0,0,0,0.264,0.35,0.443,0.793,6,9,R,J.Tomlin (30)
21,21,25-Apr,@,CLE,"L,1-4",37,33,1,5,1,0,0,1,3,0,11,1,0,0,1,0,0,0,0.259,0.346,0.432,0.777,9,10,R,T.Bauer (67)
22,22,26-Apr,,MIL,"W,1-0",29,28,1,7,0,0,1,1,1,0,3,0,0,0,0,1,0,2,0.258,0.343,0.429,0.772,4,13,R,C.Anderson (64)
23,23,27-Apr,,MIL,"W,3-2",33,30,3,7,2,0,0,2,1,0,6,0,2,0,1,0,1,0,0.258,0.34,0.424,0.765,6,15,L,B.Suter (51)
24,24,28-Apr,,MIL,"W,3-0",33,28,3,6,2,0,0,3,2,0,9,1,2,0,0,0,1,0,0.256,0.339,0.42,0.759,6,14,R,J.Guerra (66)
25,25,29-Apr,,MIL,"W,2-0",32,28,2,5,1,1,0,2,2,1,5,1,0,1,0,0,0,0,0.254,0.336,0.416,0.752,6,13,R,Z.Davies (52)
26,26,30-Apr,,COL,"W,3-2",31,29,3,6,1,1,0,3,2,0,7,0,0,0,1,2,0,0,0.252,0.334,0.412,0.746,4,14,L,K.Freeland (57)
27,27,01-May,,COL,"L,1-3",32,30,1,3,0,1,1,1,2,0,9,0,0,0,0,0,0,0,0.247,0.328,0.408,0.736,4,11,R,J.Gray (72)
28,28,02-May,,COL,"L,2-11",33,31,2,4,1,0,2,2,2,0,10,0,0,0,1,1,0,0,0.244,0.324,0.406,0.73,4,14,L,T.Anderson (71)
29,29,04-May,@,STL,"L,2-3",38,38,2,10,2,0,0,2,0,0,5,0,0,0,1,0,0,0,0.244,0.322,0.403,0.724,9,15,R,M.Mikolas (67)
30,30,05-May,@,STL,"L,6-8",45,42,6,12,1,0,2,6,2,0,6,0,1,0,0,0,0,0,0.246,0.322,0.405,0.726,9,18,R,L.Weaver (35)
