Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,30-Mar,,WSN,"L,0-2",36,34,0,7,1,0,0,0,2,0,14,0,0,0,0,0,1,0,0.206,0.25,0.235,0.485,9,16,R,M.Scherzer (71)
2,2,31-Mar,,WSN,"L,7-13",42,39,7,12,1,0,3,7,2,0,11,0,0,1,1,0,0,0,0.26,0.295,0.411,0.706,8,16,R,S.Strasburg (55)
3,3,01-Apr,,WSN,"L,5-6",37,32,5,7,3,0,1,4,3,0,8,2,0,0,0,2,0,0,0.248,0.304,0.41,0.714,5,13,L,G.Gonzalez (64)
4,4,02-Apr,,CHC,"W,1-0",35,28,1,5,1,1,0,1,6,0,7,0,1,0,1,1,0,0,0.233,0.309,0.383,0.692,10,14,R,T.Chatwood (58)
5,5,05-Apr,@,PIT,"L,2-5",36,31,2,5,0,0,1,1,5,0,7,0,0,0,0,1,0,0,0.22,0.303,0.36,0.662,7,14,L,S.Brault (57)
6,6,06-Apr,@,PIT,"L,3-14",40,37,3,13,1,0,0,3,3,0,6,0,0,0,0,2,0,0,0.244,0.32,0.363,0.683,10,15,R,T.Williams (43)
7,7,07-Apr,@,PIT,"W,7-4",43,34,7,11,2,0,1,7,5,0,10,1,2,1,0,1,1,0,0.255,0.335,0.379,0.713,9,15,R,C.Kuhl (53)
8,8,08-Apr,@,PIT,"L,0-5",30,27,0,1,0,0,0,0,2,0,7,1,0,0,0,1,0,0,0.233,0.314,0.344,0.658,3,14,R,J.Taillon (90)
9,9,09-Apr,@,PHI,"L,5-6",41,36,5,11,1,0,1,5,5,1,11,0,0,0,0,1,3,0,0.242,0.323,0.352,0.676,9,15,R,B.Lively (36)
10,10,10-Apr,@,PHI,"L,1-6",32,29,1,3,0,0,0,1,3,0,8,0,0,0,0,1,2,0,0.229,0.312,0.33,0.642,4,12,R,A.Nola (75)
11,11,11-Apr,@,PHI,"L,3-4",47,44,3,11,2,0,0,3,1,0,13,0,2,0,1,0,1,1,0.232,0.307,0.326,0.633,8,20,R,N.Pivetta (66)
12,12,12-Apr,,STL,"L,4-13",38,34,4,7,2,0,0,3,4,0,9,0,0,0,0,0,1,0,0.23,0.305,0.321,0.626,7,17,R,M.Wacha (45)
13,13,13-Apr,,STL,"L,3-5",36,32,3,7,0,0,1,3,3,0,13,0,1,0,0,0,0,0,0.229,0.304,0.32,0.624,6,15,R,L.Weaver (62)
14,14,14-Apr,,STL,"L,1-6",36,33,1,7,0,0,1,1,3,0,6,0,0,0,0,1,0,0,0.228,0.302,0.319,0.621,8,14,R,M.Mikolas (67)
15,15,15-Apr,,STL,"L,2-3",37,31,2,5,2,0,2,2,4,0,13,2,0,0,1,2,0,0,0.224,0.302,0.325,0.627,8,14,R,C.Martinez (80)
16,16,16-Apr,@,MIL,"W,10-4",44,39,10,14,6,0,0,10,4,1,7,0,1,0,0,1,0,0,0.233,0.31,0.339,0.649,7,14,L,B.Suter (47)
17,17,17-Apr,@,MIL,"L,0-2",34,30,0,3,2,0,0,0,3,0,11,1,0,0,0,0,0,0,0.226,0.305,0.33,0.634,7,14,R,J.Guerra (71)
18,18,18-Apr,@,MIL,"L,0-2",35,31,0,3,1,0,0,0,3,1,5,1,0,0,2,1,0,0,0.22,0.299,0.319,0.619,8,14,R,Z.Davies (67)
19,19,20-Apr,@,STL,"L,2-4",35,32,2,9,1,0,0,2,2,0,5,0,0,1,0,2,0,0,0.223,0.3,0.319,0.619,6,15,R,M.Wacha (60)
20,20,21-Apr,@,STL,"L,3-4",40,29,3,7,0,0,0,3,6,0,7,3,2,0,0,2,0,0,0.224,0.306,0.316,0.622,10,16,R,C.Martinez (70)
