Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,29-Mar,@,SDP,"W,2-1",45,42,2,10,2,0,0,2,2,0,9,1,0,0,0,3,1,1,0.238,0.289,0.286,0.575,7,19,L,C.Richard (64)
2,2,30-Mar,@,SDP,"W,8-6",40,37,8,11,4,0,1,8,1,0,4,0,1,1,2,1,1,0,0.266,0.298,0.38,0.677,5,16,L,J.Lucchesi (39)
3,3,31-Mar,@,SDP,"W,7-3",45,39,7,12,3,0,0,7,6,1,9,0,0,0,0,0,3,0,0.28,0.333,0.381,0.715,11,15,R,L.Perdomo (31)
4,4,02-Apr,,STL,"L,4-8",36,35,4,8,2,0,3,4,1,0,9,0,0,0,1,1,0,0,0.268,0.315,0.418,0.733,5,13,R,M.Mikolas (44)
5,5,03-Apr,,STL,"W,5-4",39,37,5,12,2,0,2,5,2,0,13,0,0,0,0,0,0,0,0.279,0.324,0.442,0.766,8,16,R,J.Flaherty (59)
6,6,04-Apr,,STL,"L,0-6",34,31,0,5,0,0,0,0,2,0,10,1,0,0,1,2,1,0,0.262,0.311,0.403,0.714,7,14,R,C.Martinez (83)
7,7,05-Apr,,CHC,"L,0-8",32,30,0,4,2,0,0,0,1,0,11,1,0,0,0,0,1,1,0.247,0.296,0.378,0.675,5,16,L,J.Lester (71)
8,8,06-Apr,,CHC,"W,5-4",44,37,5,12,1,0,2,5,6,0,8,0,1,0,1,0,0,0,0.257,0.313,0.396,0.709,14,15,R,K.Hendricks (33)
9,9,07-Apr,,CHC,"L,2-5",33,30,2,4,1,0,1,2,1,0,13,1,0,1,0,0,0,0,0.245,0.301,0.384,0.684,4,15,R,Y.Darvish (72)
10,10,08-Apr,,CHC,"L,0-3",31,29,0,3,1,0,0,0,2,0,9,0,0,0,0,0,0,1,0.233,0.289,0.363,0.652,4,13,L,J.Quintana (70)
11,11,09-Apr,@,STL,"W,5-4",46,40,5,11,4,0,0,5,5,1,6,0,1,0,0,0,0,0,0.238,0.296,0.364,0.661,11,17,R,M.Mikolas (46)
12,12,10-Apr,@,STL,"L,3-5",49,43,3,11,1,0,1,3,5,1,10,1,0,0,0,1,0,0,0.24,0.301,0.363,0.664,13,18,R,C.Martinez (58)
13,13,11-Apr,@,STL,"W,3-2",34,33,3,8,2,0,2,3,1,0,5,0,0,0,0,2,0,0,0.24,0.299,0.371,0.671,4,13,R,A.Wainwright (53)
14,14,13-Apr,@,NYM,"L,5-6",38,34,5,10,1,0,3,5,2,0,6,1,1,0,1,2,1,0,0.243,0.303,0.386,0.689,6,15,L,S.Matz (51)
15,15,14-Apr,@,NYM,"W,5-1",37,35,5,9,1,0,3,5,1,0,13,0,1,0,0,0,1,0,0.244,0.301,0.397,0.698,5,13,R,M.Harvey (40)
16,16,15-Apr,@,NYM,"L,2-3",38,33,2,4,0,0,0,0,5,0,16,0,0,0,2,0,2,0,0.237,0.297,0.381,0.678,9,16,R,N.Syndergaard (72)
17,17,16-Apr,,CIN,"L,4-10",37,33,4,7,1,0,0,3,4,0,11,0,0,0,0,1,0,0,0.236,0.297,0.373,0.67,6,14,R,L.Castillo (53)
18,18,17-Apr,,CIN,"W,2-0",33,31,2,8,1,0,1,2,2,0,6,0,0,0,0,1,0,0,0.237,0.297,0.374,0.671,7,14,R,S.Romano (53)
19,19,18-Apr,,CIN,"W,2-0",35,29,2,8,0,0,1,2,5,1,8,0,1,0,0,2,1,0,0.239,0.301,0.374,0.675,9,12,R,T.Mahle (47)
20,20,19-Apr,,MIA,"W,12-3",43,36,12,13,5,0,3,10,7,1,6,0,0,0,1,1,0,1,0.245,0.311,0.393,0.704,7,16,L,D.Peters (41)
21,21,20-Apr,,MIA,"W,8-0",43,33,8,10,2,1,2,7,8,0,14,2,0,0,0,0,1,0,0.248,0.319,0.403,0.722,11,14,R,T.Richards (28)
22,22,21-Apr,,MIA,"W,6-5",34,29,6,7,1,0,2,5,4,0,5,0,0,1,2,1,0,1,0.247,0.319,0.406,0.725,4,16,R,J.Urena (44)
23,23,22-Apr,,MIA,"W,4-2",33,29,4,4,0,0,1,3,4,1,14,0,0,0,1,0,1,0,0.243,0.316,0.4,0.716,5,15,L,C.Smith (70)
24,24,24-Apr,@,KCR,"W,5-2",39,34,5,12,0,0,2,5,4,0,3,0,1,0,0,2,1,1,0.248,0.321,0.405,0.726,7,10,R,I.Kennedy (30)
