Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,30-Mar,@,DET,"W,13-10",58,52,13,17,3,1,1,11,4,0,10,0,0,1,0,0,1,2,0.327,0.368,0.481,0.849,6,9,R,J.Zimmermann (51)
2,2,Apr 1 (1),@,DET,"W,1-0",32,28,1,6,3,0,0,1,3,0,4,1,0,0,0,2,0,1,0.288,0.348,0.425,0.773,4,9,R,M.Fulmer (71)
3,3,Apr 1 (2),@,DET,"W,8-6",39,36,8,10,1,0,3,7,2,0,10,0,0,1,0,0,1,1,0.284,0.336,0.466,0.801,4,9,L,R.Carpenter (39)
4,4,02-Apr,,MIN,"W,5-4",39,27,5,5,1,0,1,5,11,1,6,0,1,0,0,1,0,0,0.266,0.355,0.441,0.796,10,17,R,L.Lynn (33)
5,5,04-Apr,,MIN,"L,3-7",38,34,3,8,1,0,1,3,4,0,6,0,0,0,0,0,1,0,0.26,0.348,0.424,0.772,8,14,R,J.Odorizzi (40)
6,6,05-Apr,,CIN,"W,5-2",38,33,5,9,3,1,1,4,4,1,4,0,0,1,1,0,0,0,0.262,0.347,0.438,0.785,9,15,R,H.Bailey (31)
7,7,06-Apr,,CIN,"W,14-3",45,38,14,15,6,1,0,13,6,0,5,1,0,0,1,0,2,0,0.282,0.369,0.464,0.833,7,14,R,L.Castillo (39)
8,8,07-Apr,,CIN,"L,4-7",36,33,4,8,1,0,0,4,1,0,5,0,1,1,1,0,0,1,0.278,0.357,0.441,0.798,5,15,R,S.Romano (37)
9,9,08-Apr,,CIN,"W,5-0",35,33,5,11,2,0,2,5,2,0,4,0,0,0,0,0,0,0,0.283,0.359,0.455,0.814,6,9,R,T.Mahle (27)
10,10,10-Apr,@,CHC,"W,8-5",41,39,8,12,2,0,2,8,2,0,9,0,0,0,0,0,0,0,0.286,0.357,0.462,0.819,6,12,R,T.Chatwood (35)
11,11,11-Apr,@,CHC,"L,5-13",37,34,5,8,1,0,2,5,3,0,6,0,0,0,0,1,1,0,0.282,0.352,0.46,0.812,5,14,L,J.Lester (37)
12,12,12-Apr,@,CHC,"W,6-1",44,37,6,9,2,1,4,6,7,3,10,0,0,0,1,0,1,0,0.278,0.353,0.479,0.832,11,14,R,K.Hendricks (58)
13,13,13-Apr,@,MIA,"L,2-7",33,29,2,5,1,0,1,2,3,0,8,0,1,0,0,1,1,1,0.272,0.346,0.468,0.814,4,12,L,D.Peters (57)
14,14,14-Apr,@,MIA,"W,1-0",33,30,1,5,1,0,0,1,2,1,4,1,0,0,0,1,0,1,0.265,0.34,0.451,0.791,5,13,R,T.Richards (74)
15,15,15-Apr,@,MIA,"W,7-3",42,37,7,13,1,0,1,7,1,0,11,2,0,2,0,0,0,0,0.271,0.343,0.452,0.795,8,15,R,J.Urena (39)
16,16,16-Apr,,COL,"L,2-6",32,29,2,4,0,2,0,2,2,0,10,0,0,1,0,1,1,0,0.264,0.335,0.443,0.778,3,13,R,G.Marquez (64)
17,17,17-Apr,,COL,"L,0-2",32,30,0,5,1,0,0,0,2,0,4,0,0,0,0,1,0,0,0.259,0.329,0.43,0.759,5,12,R,C.Bettis (69)
18,18,18-Apr,,COL,"W,10-2",41,36,10,13,5,0,1,10,4,0,8,0,0,1,0,0,0,0,0.265,0.334,0.439,0.773,7,12,L,K.Freeland (30)
19,19,19-Apr,@,PHI,"L,0-7",31,29,0,2,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0.256,0.325,0.422,0.748,4,13,R,J.Arrieta (83)
20,20,20-Apr,@,PHI,"L,1-2",37,32,1,6,3,0,0,1,3,0,7,1,0,1,0,0,1,0,0.253,0.323,0.416,0.738,9,13,R,B.Lively (59)
21,21,21-Apr,@,PHI,"L,2-6",34,34,2,8,0,0,1,2,0,0,11,0,0,0,0,1,0,0,0.252,0.319,0.411,0.73,5,15,R,A.Nola (66)
22,22,22-Apr,@,PHI,"L,2-3",44,40,2,7,1,1,1,2,4,2,11,0,0,0,2,0,1,0,0.248,0.315,0.407,0.722,9,17,R,N.Pivetta (60)
23,23,Apr 25 (1),,DET,"L,10-13",46,42,10,14,2,0,2,10,4,0,6,0,0,0,1,0,0,0,0.253,0.319,0.413,0.732,9,17,R,J.Zimmermann (32)
