Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,29-Mar,@,NYM,"L,4-9",34,33,4,6,1,0,2,4,1,0,15,0,0,0,0,0,0,0,0.182,0.206,0.394,0.6,3,15,R,N.Syndergaard (54)
2,2,31-Mar,@,NYM,"L,2-6",37,34,2,7,0,0,1,2,3,0,12,0,0,0,0,0,0,0,0.194,0.239,0.343,0.583,8,15,R,J.deGrom (63)
3,3,01-Apr,@,NYM,"W,5-1",42,34,5,9,1,0,3,5,7,0,8,1,0,0,0,2,2,0,0.218,0.301,0.416,0.717,10,15,L,S.Matz (43)
4,4,02-Apr,@,MIL,"W,8-4",40,37,8,13,1,0,2,8,1,0,8,1,0,1,0,0,0,2,0.254,0.32,0.449,0.77,5,15,R,Z.Davies (33)
5,5,03-Apr,@,MIL,"L,4-5",39,37,4,10,1,0,3,4,1,0,7,1,0,0,1,1,2,0,0.257,0.318,0.469,0.786,8,16,R,C.Anderson (35)
6,6,04-Apr,@,MIL,"W,6-0",39,34,6,9,2,0,1,5,4,0,9,0,0,1,0,1,0,0,0.258,0.32,0.459,0.78,6,12,R,J.Chacin (40)
7,7,05-Apr,,ARI,"L,1-3",34,29,1,2,1,0,0,1,5,0,13,0,0,0,1,1,0,0,0.235,0.306,0.416,0.722,6,16,L,R.Ray (68)
8,8,07-Apr,,ARI,"W,5-3",34,33,5,10,1,0,1,5,0,0,9,0,0,1,0,0,0,0,0.244,0.304,0.417,0.721,5,14,R,Z.Greinke (34)
9,9,08-Apr,,ARI,"L,1-4",32,30,1,5,0,0,0,1,2,0,6,0,0,0,0,1,0,0,0.236,0.296,0.392,0.688,4,15,R,T.Walker (63)
10,10,09-Apr,,MIL,"L,4-5",41,35,4,8,2,0,0,4,4,0,10,0,1,1,1,0,0,0,0.235,0.296,0.381,0.677,7,18,R,J.Chacin (40)
11,11,10-Apr,,MIL,"W,5-3",48,37,5,9,0,0,1,4,8,1,8,1,2,0,1,1,1,0,0.236,0.307,0.375,0.682,13,17,L,B.Suter (57)
12,12,11-Apr,,MIL,"L,2-3",34,32,2,7,1,0,1,2,2,0,9,0,0,0,0,1,0,1,0.235,0.304,0.373,0.677,5,13,R,J.Guerra (58)
13,13,12-Apr,@,CIN,"W,13-4",52,39,13,13,2,0,4,13,11,0,8,1,0,1,1,1,0,0,0.243,0.322,0.401,0.723,12,14,R,S.Romano (35)
14,14,13-Apr,@,CIN,"W,5-3",40,38,5,13,2,0,2,5,2,1,9,0,0,0,2,2,1,1,0.251,0.326,0.413,0.739,8,14,R,T.Mahle (35)
15,15,14-Apr,@,CIN,"W,6-1",40,33,6,8,3,0,2,6,5,0,9,1,0,1,0,1,3,0,0.25,0.328,0.419,0.747,7,12,L,B.Finnegan (31)
16,16,15-Apr,@,CIN,"W,3-2",31,29,3,5,1,0,1,3,2,0,6,0,0,0,0,0,0,2,0.246,0.322,0.414,0.736,1,13,R,H.Bailey (59)
17,17,17-Apr,@,CHC,"W,5-3",44,34,5,7,1,0,1,5,10,0,14,0,0,0,0,0,0,0,0.244,0.327,0.408,0.735,12,17,R,T.Chatwood (54)
18,18,19-Apr,@,CHC,"L,5-8",38,32,5,5,0,0,0,3,4,0,11,2,0,0,0,0,1,0,0.239,0.325,0.395,0.72,6,17,L,J.Lester (72)
19,19,20-Apr,,CIN,"W,4-2",39,31,4,8,3,0,0,4,7,1,7,0,0,1,0,0,1,0,0.24,0.328,0.393,0.721,11,12,L,B.Finnegan (31)
20,20,21-Apr,,CIN,"W,4-3",34,32,4,8,2,0,3,4,2,1,5,0,0,0,1,0,1,0,0.241,0.326,0.403,0.729,6,14,R,H.Bailey (45)
21,21,22-Apr,,CIN,"W,9-2",41,32,9,12,3,0,2,9,7,0,6,0,0,2,0,1,1,0,0.247,0.333,0.414,0.748,8,13,R,L.Castillo (40)
22,22,24-Apr,,NYM,"L,5-6",43,38,5,10,4,0,1,5,4,0,9,1,0,0,0,2,0,0,0.248,0.334,0.416,0.75,8,18,R,Z.Wheeler (35)
23,23,25-Apr,,NYM,"W,9-1",38,31,9,7,1,0,1,8,2,0,7,2,2,1,2,0,0,0,0.247,0.333,0.413,0.746,5,13,L,S.Matz (31)
24,24,26-Apr,,NYM,"W,4-3",50,47,4,11,3,0,0,4,2,0,11,1,0,0,1,1,0,1,0.246,0.33,0.407,0.737,9,20,R,N.Syndergaard (67)
25,25,27-Apr,@,PIT,"L,5-6",44,37,5,7,3,0,1,5,5,0,11,0,1,1,1,0,0,1,0.244,0.328,0.404,0.732,6,18,L,S.Brault (36)
26,26,28-Apr,@,PIT,"L,2-6",35,31,2,5,2,0,0,2,2,0,5,0,2,0,1,0,0,0,0.241,0.324,0.398,0.722,6,14,R,T.Williams (56)
27,27,29-Apr,@,PIT,"L,0-5",30,29,0,3,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0.236,0.319,0.39,0.709,3,13,R,N.Kingham (84)
28,28,01-May,,CHW,"W,3-2",32,29,3,7,2,0,2,3,2,0,5,0,1,0,0,1,1,1,0.237,0.318,0.394,0.712,4,16,R,J.Shields (68)
29,29,02-May,,CHW,"W,3-2",29,25,3,4,0,0,2,3,3,0,7,1,0,0,0,1,1,1,0.235,0.317,0.394,0.711,2,12,R,L.Giolito (58)
30,30,04-May,,CHC,"W,3-2",36,31,3,9,0,0,1,3,5,0,7,0,0,0,1,2,0,0,0.236,0.319,0.394,0.713,9,15,L,J.Quintana (46)
31,31,05-May,,CHC,"W,8-6",44,34,8,7,2,0,1,7,7,0,9,2,0,1,1,0,2,0,0.235,0.321,0.392,0.713,9,20,R,T.Chatwood (42)
32,32,06-May,,CHC,"W,4-3",56,47,4,10,1,1,2,4,8,1,13,1,0,0,0,3,0,1,0.234,0.322,0.393,0.715,11,20,L,J.Lester (48)
33,33,07-May,,MIN,"L,0-6",34,29,0,4,1,0,0,0,3,0,12,1,1,0,0,1,0,0,0.232,0.319,0.387,0.707,7,13,R,F.Romero (72)
34,34,08-May,,MIN,"L,1-7",30,27,1,2,0,0,1,1,2,0,7,0,1,0,0,0,0,1,0.228,0.315,0.382,0.698,2,14,R,J.Odorizzi (60)
35,35,10-May,@,SDP,"W,2-1",34,32,2,8,0,0,1,2,1,0,11,0,0,1,0,1,1,1,0.229,0.314,0.381,0.696,5,13,R,J.Lyles (56)
36,36,11-May,@,SDP,"W,9-5",44,37,9,13,0,0,5,9,5,0,3,0,2,0,0,0,0,1,0.232,0.318,0.393,0.711,8,15,L,E.Lauer (18)
37,37,12-May,@,SDP,"L,1-2",52,47,1,9,1,0,0,1,4,0,14,1,0,0,0,1,0,0,0.231,0.316,0.386,0.702,12,20,R,T.Ross (67)
38,38,13-May,@,SDP,"L,3-5",35,31,3,6,0,1,1,3,3,0,12,1,0,0,0,2,1,0,0.23,0.315,0.385,0.701,5,13,L,C.Richard (73)
39,39,15-May,@,MIN,"L,1-4",31,29,1,2,0,0,0,1,1,0,12,1,0,0,0,0,0,0,0.226,0.311,0.378,0.69,3,11,R,J.Berrios (79)
40,40,16-May,@,MIN,"W,7-5",44,38,7,13,4,0,1,7,6,0,10,0,0,0,0,1,0,1,0.23,0.315,0.383,0.697,10,11,R,L.Lynn (40)
41,41,17-May,,PHI,"L,2-6",40,35,2,10,1,0,0,2,3,0,5,1,1,0,0,0,0,0,0.231,0.316,0.381,0.697,11,15,R,V.Velasquez (66)
42,42,18-May,,PHI,"W,12-4",43,36,12,15,3,0,3,11,5,0,4,0,2,0,2,3,0,0,0.236,0.32,0.39,0.71,7,15,R,J.Arrieta (36)
43,43,19-May,,PHI,"L,6-7",38,34,6,7,2,0,1,5,3,0,7,0,0,1,1,0,1,0,0.235,0.319,0.389,0.708,5,17,R,Z.Eflin (47)
44,44,20-May,,PHI,"W,5-1",35,32,5,10,2,0,1,4,1,0,8,0,1,1,0,0,1,0,0.237,0.319,0.391,0.71,6,12,R,A.Nola (47)
45,45,21-May,,KCR,"W,6-0",35,33,6,10,2,0,2,6,1,0,10,0,1,0,0,0,0,0,0.238,0.319,0.394,0.713,5,11,R,I.Kennedy (35)
46,46,22-May,,KCR,"L,1-5",36,34,1,11,0,0,0,0,0,0,8,1,1,0,0,1,0,3,0.24,0.32,0.393,0.712,8,15,R,J.Hammel (63)
47,47,23-May,,KCR,"L,2-5",38,35,2,6,2,0,0,2,2,0,12,0,1,0,0,0,0,0,0.239,0.317,0.389,0.707,6,16,R,J.Junis (55)
48,48,25-May,@,PIT,"L,1-8",33,33,1,7,2,0,1,1,0,0,8,0,0,0,0,1,0,0,0.238,0.316,0.389,0.704,5,15,R,J.Musgrove (74)
49,49,26-May,@,PIT,"W,4-1",37,33,4,11,2,0,1,4,1,1,9,1,1,1,0,2,1,0,0.24,0.316,0.391,0.707,6,14,R,T.Williams (35)
50,50,27-May,@,PIT,"W,6-4",41,35,6,8,2,0,0,6,5,0,9,1,0,0,1,1,0,0,0.24,0.317,0.388,0.705,8,15,R,J.Taillon (56)
51,51,28-May,@,MIL,"L,3-8",33,32,3,6,1,0,2,3,1,0,11,0,0,0,0,1,0,0,0.239,0.315,0.389,0.704,3,14,L,B.Suter (51)
52,52,29-May,@,MIL,"W,6-1",39,33,6,10,0,0,3,6,3,1,8,1,1,0,0,3,0,0,0.24,0.316,0.392,0.709,6,12,R,Z.Davies (32)
53,53,30-May,@,MIL,"L,2-3",39,33,2,8,0,0,1,2,3,1,13,0,2,1,1,0,1,0,0.24,0.316,0.391,0.707,10,16,R,J.Guerra (71)
54,54,31-May,,PIT,"W,10-8",42,39,10,14,3,0,1,10,3,1,5,0,0,0,1,0,1,0,0.242,0.318,0.394,0.712,8,19,R,T.Williams (31)
55,55,01-Jun,,PIT,"L,0-4",31,30,0,4,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0.241,0.315,0.39,0.706,4,16,R,J.Taillon (81)
56,56,02-Jun,,PIT,"W,3-2",34,29,3,5,0,0,2,3,4,0,6,1,0,0,0,0,0,0,0.24,0.315,0.39,0.705,7,12,R,C.Kuhl (59)
57,57,03-Jun,,PIT,"W,5-0",34,31,5,6,1,0,1,5,3,0,8,0,0,0,2,0,0,1,0.239,0.314,0.389,0.703,5,11,R,N.Kingham (49)
58,58,05-Jun,,MIA,"L,4-7",37,36,4,12,1,0,0,3,1,0,5,0,0,0,0,1,0,0,0.241,0.315,0.388,0.703,6,17,R,J.Urena (33)
59,59,06-Jun,,MIA,"L,3-11",37,34,3,8,4,0,0,3,2,1,7,0,0,1,0,0,0,0,0.241,0.314,0.388,0.702,7,15,L,W.Chen (43)
60,60,07-Jun,,MIA,"W,4-1",35,34,4,11,0,0,2,4,1,1,6,0,0,0,0,0,0,1,0.242,0.315,0.39,0.704,7,14,R,T.Richards (45)
61,61,08-Jun,@,CIN,"W,7-6",44,37,7,8,0,1,3,7,6,0,8,1,0,0,0,1,0,0,0.242,0.315,0.392,0.707,7,17,R,M.Harvey (46)
62,62,09-Jun,@,CIN,"W,6-4",39,34,6,7,1,0,3,6,5,0,11,0,0,0,0,0,1,0,0.241,0.315,0.394,0.709,6,16,R,L.Castillo (51)
63,63,10-Jun,@,CIN,"L,3-6",39,35,3,11,2,0,0,2,3,0,11,0,0,1,0,0,0,0,0.242,0.316,0.393,0.709,9,15,R,A.DeSclafani (41)
64,64,11-Jun,,SDP,"W,5-2",35,34,5,12,0,0,3,5,0,0,4,0,1,0,0,1,1,0,0.244,0.316,0.397,0.713,6,14,R,J.Lyles (36)
65,65,12-Jun,,SDP,"L,2-4",32,31,2,5,0,0,0,2,0,0,9,1,0,0,0,1,0,0,0.243,0.315,0.393,0.708,3,13,L,M.Strahm (63)
66,66,13-Jun,,SDP,"L,2-4",34,33,2,8,0,0,1,2,0,0,7,1,0,0,0,1,0,0,0.243,0.314,0.393,0.706,5,13,L,E.Lauer (47)
67,67,15-Jun,,CHC,"L,5-13",38,35,5,9,0,0,3,4,3,0,5,0,0,0,1,1,0,0,0.243,0.314,0.394,0.708,6,17,L,J.Lester (56)
68,68,16-Jun,,CHC,"L,3-6",38,34,3,9,0,0,1,3,4,0,7,0,0,0,0,0,0,1,0.243,0.314,0.394,0.708,8,15,R,K.Hendricks (45)
69,69,17-Jun,,CHC,"W,5-0",36,32,5,10,1,0,1,3,4,0,6,0,0,0,0,1,0,0,0.244,0.315,0.394,0.71,7,16,L,J.Quintana (52)
70,70,18-Jun,@,PHI,"L,5-6",42,41,5,9,3,0,3,4,1,0,19,0,0,0,1,0,0,0,0.244,0.314,0.396,0.711,7,18,R,N.Pivetta (74)
71,71,19-Jun,@,PHI,"W,7-6",38,34,7,8,2,0,3,7,3,0,11,1,0,0,0,0,0,1,0.244,0.314,0.399,0.713,4,16,R,V.Velasquez (54)
72,72,20-Jun,@,PHI,"L,3-4",38,34,3,7,1,0,2,3,3,1,8,1,0,0,0,0,0,0,0.243,0.314,0.399,0.713,8,16,R,J.Arrieta (55)
73,73,21-Jun,@,MIL,"L,3-11",36,33,3,7,2,0,1,3,2,0,6,1,0,0,0,1,0,0,0.243,0.313,0.398,0.712,6,14,L,B.Suter (69)
74,74,22-Jun,@,MIL,"L,1-2",36,30,1,3,1,0,0,1,4,0,15,1,1,0,1,0,0,0,0.241,0.312,0.395,0.708,8,13,R,J.Guerra (60)
75,75,23-Jun,@,MIL,"W,3-2",35,30,3,4,0,0,2,3,5,0,13,0,0,0,0,1,1,0,0.24,0.312,0.395,0.706,5,14,R,C.Anderson (64)
76,76,24-Jun,@,MIL,"W,8-2",45,35,8,10,4,0,1,8,8,0,11,0,1,1,0,0,0,0,0.24,0.313,0.396,0.709,10,15,R,J.Chacin (13)
77,77,25-Jun,,CLE,"W,4-0",35,33,4,11,4,0,0,4,2,0,5,0,0,0,0,2,1,0,0.242,0.314,0.397,0.71,7,14,R,M.Clevinger (49)
78,78,26-Jun,,CLE,"W,11-2",40,36,11,13,1,0,4,10,2,0,7,0,0,2,1,0,0,0,0.243,0.315,0.401,0.716,5,15,R,C.Kluber (20)
79,79,27-Jun,,CLE,"L,1-5",36,33,1,6,1,0,0,1,1,0,8,2,0,0,0,0,0,0,0.242,0.314,0.399,0.713,8,15,R,S.Bieber (60)
